stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain,race_oldest_pcs_link
1,1,Albert Achterhes Profronde van Drenthe,2022-03-13,2022-03-13,One day race,,One day race,1.1,nl,https://www.procyclingstats.com/race/ronde-van-drenthe/2022,https://www.procyclingstats.com/race/ronde-van-drenthe/2022,ME - Men Elite,1.1,162,9.0,2,"Hills, flat finish",Assen,Hoogeveen,10:30,38.493,198100.0,421.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/ronde-van-drenthe/1999
2,2,Cholet - Pays de la Loire,2022-03-20,2022-03-20,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/cholet-pays-de-loire/2022,https://www.procyclingstats.com/race/cholet-pays-de-loire/2022,ME - Men Elite,1.1,159,41.0,2,"Hills, flat finish",Cholet,Cholet,12:00,42.576,202000.0,1714.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/cholet-pays-de-loire/1978
3,3,Clasica Jaen Paraiso Interior,2022-02-14,2022-02-14,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022,ME - Men Elite,1.1,119,180.0,3,"Hills, uphill finish",Baeza,Ubeda,12:42,38.963,187800.0,3064.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022
4,4,Classic Grand Besancon Doubs,2022-04-15,2022-04-15,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2022,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2022,ME - Men Elite,1.1,129,187.0,3,"Hills, uphill finish",Besancon,Montfaucon,12:15,40.05,177500.0,2786.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2021
5,5,Classic Loire Atlantique,2022-03-19,2022-03-19,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/classic-loire-atlantique/2022,https://www.procyclingstats.com/race/classic-loire-atlantique/2022,ME - Men Elite,1.1,156,83.0,2,"Hills, flat finish",La Haye-Fouassiere,La Haye-Fouassiere,12:30,42.802,182800.0,2452.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/classic-loire-atlantique/2000
6,6,Grand Prix Cycliste de Marseille La Marseillaise,2022-01-30,2022-01-30,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/gp-d-ouverture/2022,https://www.procyclingstats.com/race/gp-d-ouverture/2022,ME - Men Elite,1.1,63,120.0,2,"Hills, flat finish",Chateau-Gombert,Marseille,12:30,38.564,174300.0,2921.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-d-ouverture/1989
7,7,Grote prijs Jean-Pierre Monsere,2022-03-06,2022-03-06,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2022,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2022,ME - Men Elite,1.1,149,1.0,1,Flat,Hooglede,Roeselare,10:20,42.771,203200.0,650.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2017
8,8,La Roue Tourangelle Centre Val de Loire - Trophee Groupama Paris Val de Loire,2022-03-27,2022-03-27,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/la-roue-tourangelle/2022,https://www.procyclingstats.com/race/la-roue-tourangelle/2022,ME - Men Elite,1.1,141,30.0,2,"Hills, flat finish",Chateau-Renault,Tours,13:30,43.433,202000.0,1525.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/la-roue-tourangelle/2004
9,9,La Route Adelie de Vitre,2022-04-01,2022-04-01,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/route-adelie-de-vitre/2022,https://www.procyclingstats.com/race/route-adelie-de-vitre/2022,ME - Men Elite,1.1,136,68.0,1,Flat,Vitre,Vitre,12:00,39.76,176700.0,2578.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/route-adelie-de-vitre/1996
10,10,Le Samyn,2022-03-01,2022-03-01,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/gp-samyn/2022,https://www.procyclingstats.com/race/gp-samyn/2022,ME - Men Elite,1.1,71,10.0,3,"Hills, uphill finish",Quaregnon,Dour,12:25,43.319,209000.0,1541.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-samyn/1968
11,11,Paris - Camembert,2022-04-12,2022-04-12,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/paris-camembert/2022,https://www.procyclingstats.com/race/paris-camembert/2022,ME - Men Elite,1.1,147,105.0,2,"Hills, flat finish",Pont-Audemer,Livarot,11:05,41.113,213800.0,2779.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/paris-camembert/1906
12,12,Per Sempre Alfredo,2022-03-20,2022-03-20,One day race,,One day race,1.1,it,https://www.procyclingstats.com/race/per-sempre-alfredo/2022,https://www.procyclingstats.com/race/per-sempre-alfredo/2022,ME - Men Elite,1.1,163,136.0,2,"Hills, flat finish",Firenze,Sesto Fiorentino,13:00,39.305,172700.0,2976.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/per-sempre-alfredo/2021
13,13,Tour du Jura Cycliste,2022-04-16,2022-04-16,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/tour-du-jura-cycliste/2022,https://www.procyclingstats.com/race/tour-du-jura-cycliste/2022,ME - Men Elite,1.1,131,129.0,3,"Hills, uphill finish",Champagnole,Nozeroy,10:15,41.666,169800.0,2617.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/tour-du-jura-cycliste/2017
14,14,Trofeo Alcudia - Port d'Alcudia,2022-01-27,2022-01-27,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/trofeo-alcudia/2022,https://www.procyclingstats.com/race/trofeo-alcudia/2022,ME - Men Elite,1.1,74,62.0,0,,Port d'Alcudia,Port d'Alcudia,12:00,45.026,173200.0,1653.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofeo-alcudia/2003
15,15,Trofeo Calvia,2022-01-26,2022-01-26,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/trofeo-calvia/2022,https://www.procyclingstats.com/race/trofeo-calvia/2022,ME - Men Elite,1.1,63,154.0,2,"Hills, flat finish",Peguera,Palmanova,12:00,39.063,154700.0,3211.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofeo-calvia/1994
16,16,Trofeo Playa de Palma - Palma,2022-01-30,2022-01-30,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/trofeo-palma/2022,https://www.procyclingstats.com/race/trofeo-palma/2022,ME - Men Elite,1.1,65,35.0,2,"Hills, flat finish",S'Arenal,Palma,10:00,43.288,169100.0,1552.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofeo-palma/2003
17,17,Trofeo Pollenca - Port d'Andratx,2022-01-29,2022-01-29,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2022,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2022,ME - Men Elite,1.1,55,207.0,3,"Hills, uphill finish",Pollenca,Andratx,12:00,40.05,170100.0,3429.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2000
18,18,Trofeo Serra de Tramuntana,2022-01-28,2022-01-28,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/deia-trophy/2022,https://www.procyclingstats.com/race/deia-trophy/2022,ME - Men Elite,1.1,58,170.0,3,"Hills, uphill finish",Lloseta,Lloseta,12:00,37.753,158900.0,3217.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/deia-trophy/2010
19,19,Volta Limburg Classic,2022-04-02,2022-04-02,One day race,,One day race,1.1,nl,https://www.procyclingstats.com/race/hel-van-het-mergelland/2022,https://www.procyclingstats.com/race/hel-van-het-mergelland/2022,ME - Men Elite,1.1,157,90.0,2,"Hills, flat finish",Eijsden,Eijsden,12:03,38.436,195000.0,2878.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/national-race/hel-van-het-mergelland/1973
20,20,Vuelta Ciclista a la Region de Murcia Costa Calida,2022-02-12,2022-02-12,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/2022,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/2022,ME - Men Elite,1.1,101,94.0,4,"Mountains, flat finish",Fortuna,Puerto de Cartagena,13:25,39.995,183200.0,2331.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/1985
21,21,GP Oetingen,2022-03-09,2022-03-09,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/gp-oetingen/2022,https://www.procyclingstats.com/race/gp-oetingen/2022,WE - Women Elite,F-1.1,54,30.0,2,"Hills, flat finish",Oetingen,Oetingen,13:06,37.087,130000.0,1131.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-oetingen/2021
22,22,Grand Prix Feminin de Chambery,2022-04-17,2022-04-17,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/grand-prix-feminin-de-chambery/2022,https://www.procyclingstats.com/race/grand-prix-feminin-de-chambery/2022,WE - Women Elite,F-1.1,66,124.0,3,"Hills, uphill finish",Chambery-le-Vieux,Chambery-le-Vieux,12:45,32.599,109000.0,1728.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-feminin-de-chambery/2021
23,23,Le Samyn des Dames,2022-03-01,2022-03-01,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/le-samyn-des-dames/2022,https://www.procyclingstats.com/race/le-samyn-des-dames/2022,WE - Women Elite,F-1.1,35,10.0,3,"Hills, uphill finish",Quaregnon,Dour,12:00,38.161,99400.0,879.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/le-samyn-des-dames/2012
24,24,Omloop van het Hageland WE,2022-02-27,2022-02-27,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/omloop-van-het-hageland-tielt-winge/2022,https://www.procyclingstats.com/race/omloop-van-het-hageland-tielt-winge/2022,WE - Women Elite,F-1.1,28,20.0,2,"Hills, flat finish",Tienen,Tielt-Winge,13:06,37.562,128200.0,950.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/omloop-van-het-hageland-tielt-winge/2011
25,25,Ronde de Mouscron,2022-04-18,2022-04-18,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/ronde-de-mouscron/2022,https://www.procyclingstats.com/race/ronde-de-mouscron/2022,WE - Women Elite,F-1.1,59,3.0,1,Flat,Mouscron,Mouscron,14:00,40.31,127000.0,855.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/ronde-de-mouscron/2020
26,26,Scheldeprijs vrouwen elite,2022-04-06,2022-04-06,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/scheldeprijs-vrouwen-elite/2022,https://www.procyclingstats.com/race/scheldeprijs-vrouwen-elite/2022,WE - Women Elite,F-1.1,43,,1,Flat,Schoten,Schoten,11:35,41.033,138100.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/scheldeprijs-vrouwen-elite/2021
27,27,Vuelta CV Feminas,2022-02-06,2022-02-06,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/vuelta-a-la-comunitat-valenciana-feminas/2022,https://www.procyclingstats.com/race/vuelta-a-la-comunitat-valenciana-feminas/2022,WE - Women Elite,F-1.1,58,12.0,2,"Hills, flat finish",Paterna,Valencia,09:15,41.967,92000.0,706.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-a-la-comunitat-valenciana-feminas/2019
28,28,Bernaudeau Junior,2022-03-20,2022-03-20,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/bernaudeau-junior/2022,https://www.procyclingstats.com/race/bernaudeau-junior/2022,MJ - Men Juniors,J-1.1,213,25.0,2,"Hills, flat finish",La Roche-sur-Yon,La Chataigneraie,13:05,41.27,130700.0,1326.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/bernaudeau-junior/2005
29,29,Danilith Nokere Koerse Juniores,2022-03-12,2022-03-12,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/danilith-nokere-koerse-voor-juniores/2022,https://www.procyclingstats.com/race/danilith-nokere-koerse-voor-juniores/2022,MJ - Men Juniors,J-1.1,214,12.0,2,"Hills, flat finish",Deinze,Nokere,14:03,40.925,125900.0,801.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/danilith-nokere-koerse-voor-juniores/2017
30,30,Giro di Primavera,2022-04-03,2022-04-03,One day race,,One day race,1.1,it,https://www.procyclingstats.com/race/giro-di-primavera/2022,https://www.procyclingstats.com/race/giro-di-primavera/2022,MJ - Men Juniors,J-1.1,216,151.0,2,"Hills, flat finish",San Vendemiano,San Vendemiano,14:00,39.002,128500.0,2205.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-di-primavera/2022
31,31,Guido Reybrouck Classic,2022-03-20,2022-03-20,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/guido-reybrouck-classic/2022,https://www.procyclingstats.com/race/guido-reybrouck-classic/2022,MJ - Men Juniors,J-1.1,213,,1,Flat,Damme,Damme,14:35,43.93,124500.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/guido-reybrouck-classic/2015
32,32,Kuurne - Brussel - Kuurne Juniors,2022-02-27,2022-02-27,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/kuurne-brussel-kuurne-juniors/2022,https://www.procyclingstats.com/race/kuurne-brussel-kuurne-juniors/2022,MJ - Men Juniors,J-1.1,212,25.0,2,"Hills, flat finish",Kuurne,Kuurne,12:40,41.543,116100.0,889.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/kuurne-brussel-kuurne-juniors/2010
33,33,Arno Wallaard Memorial,2022-04-16,2022-04-16,One day race,,One day race,1.2,nl,https://www.procyclingstats.com/race/arno-wallaard-memorial/2022,https://www.procyclingstats.com/race/arno-wallaard-memorial/2022,ME - Men Elite,1.2,280,0.0,1,Flat,Meerkerk,Meerkerk,14:00,44.086,188100.0,129.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/national-race/arno-wallaard-memorial/2005
34,34,Classica Comunitat Valenciana 1969 - Gran Premi Valencia,2022-01-23,2022-01-23,One day race,,One day race,1.2,es,https://www.procyclingstats.com/race/gp-de-valence/2022,https://www.procyclingstats.com/race/gp-de-valence/2022,ME - Men Elite,1.2,170,35.0,2,"Hills, flat finish",La Nucia,Valencia,12:40,43.287,175000.0,1608.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-de-valence/1969
35,35,Classica da Arrabida - Cyclin'Portugal,2022-03-13,2022-03-13,One day race,,One day race,1.2,pt,https://www.procyclingstats.com/race/classica-da-arrabida-cylin-portugal/2022,https://www.procyclingstats.com/race/classica-da-arrabida-cylin-portugal/2022,ME - Men Elite,1.2,228,70.0,2,"Hills, flat finish",Sesimbra,Setubal,11:50  (12:50 CET),44.024,161800.0,1423.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/classica-da-arrabida-cylin-portugal/2017
36,36,Dorpenomloop Rucphen,2022-03-13,2022-03-13,One day race,,One day race,1.2,nl,https://www.procyclingstats.com/race/dorpenomloop-rucphen/2022,https://www.procyclingstats.com/race/dorpenomloop-rucphen/2022,ME - Men Elite,1.2,209,0.0,1,Flat,Rucphen,Rucphen,12:02,45.082,186000.0,240.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/dorpenomloop-rucphen/2011
37,37,GP Adria Mobil,2022-03-27,2022-03-27,One day race,,One day race,1.2,si,https://www.procyclingstats.com/race/gp-adria-mobil/2022,https://www.procyclingstats.com/race/gp-adria-mobil/2022,ME - Men Elite,1.2,274,85.0,2,"Hills, flat finish",Novo Mesto,Novo Mesto,,39.867,182800.0,2537.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-adria-mobil/2015
38,38,GP Slovenian Istria,2022-03-20,2022-03-20,One day race,,One day race,1.2,si,https://www.procyclingstats.com/race/gp-izola-butan-plin/2022,https://www.procyclingstats.com/race/gp-izola-butan-plin/2022,ME - Men Elite,1.2,257,91.0,2,"Hills, flat finish",Izola,Izola,13:05,40.544,156500.0,2210.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-izola-butan-plin/2014
39,39,GP Vipava Valley & Crossborder Goriska,2022-03-24,2022-03-24,One day race,,One day race,1.2,si,https://www.procyclingstats.com/race/gp-vipava-valley/2022,https://www.procyclingstats.com/race/gp-vipava-valley/2022,ME - Men Elite,1.2,274,98.0,2,"Hills, flat finish",Nova Gorica,Nova Gorica,13:05,43.595,154400.0,2117.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-vipava-valley/2022
40,40,Grand Prix Alanya,2022-02-05,2022-02-05,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-alanya/2022,https://www.procyclingstats.com/race/grand-prix-alanya/2022,ME - Men Elite,1.2,249,151.0,2,"Hills, flat finish",Alanya,Alanya,11:00  (09:00 CET),39.979,147200.0,2544.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-alanya/2018
41,41,Grand Prix Criquielion,2022-03-20,2022-03-20,One day race,,One day race,1.2,be,https://www.procyclingstats.com/race/grand-prix-criquielion/2022,https://www.procyclingstats.com/race/grand-prix-criquielion/2022,ME - Men Elite,1.2,286,68.0,2,"Hills, flat finish",Lessines,Lessines,12:35,43.89,186900.0,2099.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-criquielion/1995
42,42,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,2022-03-06,2022-03-06,One day race,,One day race,1.2,fr,https://www.procyclingstats.com/race/gp-de-la-ville-de-lillers/2022,https://www.procyclingstats.com/race/gp-de-la-ville-de-lillers/2022,ME - Men Elite,1.2,234,14.0,1,Flat,Lillers,Lillers,12:45,41.544,180000.0,1133.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-de-la-ville-de-lillers/1964
43,43,Grand Prix Gazipasa ME,2022-03-05,2022-03-05,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-gazipasa/2022,https://www.procyclingstats.com/race/grand-prix-gazipasa/2022,ME - Men Elite,1.2,252,156.0,2,"Hills, flat finish",Gazipasa,Gazipasa,15:00  (13:00 CET),46.34,123600.0,2385.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-gazipasa/2019
44,44,Grand Prix Gundogmus,2022-03-20,2022-03-20,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-gundogmus-me/2022,https://www.procyclingstats.com/race/grand-prix-gundogmus-me/2022,ME - Men Elite,1.2,261,267.0,3,"Hills, uphill finish",Okurcalar,Gundogmus,11:00  (09:00 CET),38.048,100500.0,2037.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-gundogmus-me/2021
45,45,Grand Prix Justiniano Race,2022-02-20,2022-02-20,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-justiniano-hotels/2022,https://www.procyclingstats.com/race/grand-prix-justiniano-hotels/2022,ME - Men Elite,1.2,265,43.0,1,Flat,Okurcalar,Alanya,13:30  (11:30 CET),47.122,156300.0,1775.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-justiniano-hotels/2019
46,46,Grand Prix Manavgat Side,2022-03-19,2022-03-19,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-manavgat-side/2022,https://www.procyclingstats.com/race/grand-prix-manavgat-side/2022,ME - Men Elite,1.2,267,0.0,1,Flat,Manavgat,Manavgat,11:00  (09:00 CET),39.529,126000.0,566.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-manavgat-side/2020
47,47,Grand Prix Mediterrennean,2022-03-06,2022-03-06,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-mediterrennean/2022,https://www.procyclingstats.com/race/grand-prix-mediterrennean/2022,ME - Men Elite,1.2,245,242.0,3,"Hills, uphill finish",Gundogmus,Gundogmus,14:30  (12:30 CET),37.196,98000.0,2205.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-mediterrennean/2020
48,48,Grand Prix Megasaray,2022-01-30,2022-01-30,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-megasaray/2022,https://www.procyclingstats.com/race/grand-prix-megasaray/2022,ME - Men Elite,1.2,276,11.0,1,Flat,Alaharan,Alaharan,11:00  (09:00 CET),46.596,126600.0,662.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-megasaray/2022
49,49,Grand Prix Velo Alanya,2022-02-19,2022-02-19,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-velo-alanya/2022,https://www.procyclingstats.com/race/grand-prix-velo-alanya/2022,ME - Men Elite,1.2,263,237.0,3,"Hills, uphill finish",Guzelbag,Guzelbag,14:00  (12:00 CET),34.739,129800.0,2266.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-velo-alanya/2019
50,50,International Rhodes Grand Prix,2022-03-20,2022-03-20,One day race,,One day race,1.2,gr,https://www.procyclingstats.com/race/international-rhodes-gp/2022,https://www.procyclingstats.com/race/international-rhodes-gp/2022,ME - Men Elite,1.2,261,52.0,2,"Hills, flat finish",Rhodes,Rhodes,12:00  (11:00 CET),43.808,186000.0,1735.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/international-rhodes-gp/2017
51,51,Popolarissima,2022-03-20,2022-03-20,One day race,,One day race,1.2,it,https://www.procyclingstats.com/race/popolarissima/2022,https://www.procyclingstats.com/race/popolarissima/2022,ME - Men Elite,1.2,425,2.0,1,Flat,Treviso,Treviso,12:30,46.717,175200.0,231.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/popolarissima/2017
52,52,Trofej Porec - Porec Trophy,2022-03-06,2022-03-06,One day race,,One day race,1.2,hr,https://www.procyclingstats.com/race/porec-trophy-trofej-porec/2022,https://www.procyclingstats.com/race/porec-trophy-trofej-porec/2022,ME - Men Elite,1.2,226,39.0,3,"Hills, uphill finish",Porec,Tar,11:00,44.8,155500.0,1597.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/porec-trophy-trofej-porec/2000
53,53,Trofej Umag - Umag Trophy,2022-03-02,2022-03-02,One day race,,One day race,1.2,hr,https://www.procyclingstats.com/race/trofej-umag-umag-trophy/2022,https://www.procyclingstats.com/race/trofej-umag-umag-trophy/2022,ME - Men Elite,1.2,230,8.0,2,"Hills, flat finish",Umag,Umag,11:00,44.595,154000.0,1258.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofej-umag-umag-trophy/2013
54,54,Visit Friesland Elfsteden Race,2022-03-06,2022-03-06,One day race,,One day race,1.2,nl,https://www.procyclingstats.com/race/visit-friesland-elfsteden-race/2022,https://www.procyclingstats.com/race/visit-friesland-elfsteden-race/2022,ME - Men Elite,1.2,211,0.0,1,Flat,Leeuwarden,Leeuwarden,11:22,45.984,199200.0,172.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/visit-friesland-elfsteden-race/2022
55,55,Drentse Acht van Westerveld,2022-03-11,2022-03-11,One day race,,One day race,1.2,nl,https://www.procyclingstats.com/race/drentse-8-van-dwingeloo/2022,https://www.procyclingstats.com/race/drentse-8-van-dwingeloo/2022,WE - Women Elite,F-1.2,55,0.0,1,Flat,Dwingeloo,Dwingeloo,12:30,40.344,134200.0,186.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/drentse-8-van-dwingeloo/2007
56,56,Grand Prix Gazipasa WE,2022-03-05,2022-03-05,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-gazipasa-we/2022,https://www.procyclingstats.com/race/grand-prix-gazipasa-we/2022,WE - Women Elite,F-1.2,97,128.0,2,"Hills, flat finish",Gazipasa,Gazipasa,10:00  (08:00 CET),40.961,95700.0,1741.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-gazipasa-we/2019
57,57,Grand Prix Justiniano Race WE,2022-02-20,2022-02-20,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-justiniano-race/2022,https://www.procyclingstats.com/race/grand-prix-justiniano-race/2022,WE - Women Elite,F-1.2,84,,1,Flat,Okurcalar,Alanya,08:30  (06:30 CET),39.179,95400.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-justiniano-race/2022
58,58,Grand Prix Mediterrennean WE,2022-03-06,2022-03-06,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-mediterrennean-we/2022,https://www.procyclingstats.com/race/grand-prix-mediterrennean-we/2022,WE - Women Elite,F-1.2,92,242.0,3,"Hills, uphill finish",Gundogmus,Gundogmus,09:00  (07:00 CET),32.816,84300.0,2205.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-mediterrennean-we/2021
59,59,Grand Prix Velo Alanya WE,2022-02-19,2022-02-19,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/tour-of-eftalia-hotels-velo-alanya-we/2022,https://www.procyclingstats.com/race/tour-of-eftalia-hotels-velo-alanya-we/2022,WE - Women Elite,F-1.2,91,242.0,3,"Hills, uphill finish",Guzelbag,Guzelbag,08:30  (06:30 CET),30.277,98300.0,2024.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/tour-of-eftalia-hotels-velo-alanya-we/2018
60,60,Grand Prix Velo Manavgat WE,2022-02-06,2022-02-06,One day race,,One day race,1.2,tr,https://www.procyclingstats.com/race/grand-prix-manavgat-side-we/2022,https://www.procyclingstats.com/race/grand-prix-manavgat-side-we/2022,WE - Women Elite,F-1.2,103,2.0,1,Flat,Manavgat,Manavgat,11:00  (09:00 CET),40.81,99600.0,331.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-manavgat-side-we/2020
61,61,Trofeo Oro in Euro - Women's Bike Race,2022-03-06,2022-03-06,One day race,,One day race,1.2,it,https://www.procyclingstats.com/race/trofeo-oro-in-euro-women-s-bike-race/2022,https://www.procyclingstats.com/race/trofeo-oro-in-euro-women-s-bike-race/2022,WE - Women Elite,F-1.2,64,38.0,1,Flat,Montignoso,Montignoso,13:30,40.463,106800.0,686.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/trofeo-oro-in-euro-women-s-bike-race/2022
62,62,G.P. Palio del Recioto - Trofeo C,2022-04-19,2022-04-19,One day race,,One day race,1.2U,it,https://www.procyclingstats.com/race/gp-palio-del-recioto/2022,https://www.procyclingstats.com/race/gp-palio-del-recioto/2022,MU - Men U23,1.2,17,180.0,2,"Hills, flat finish",Negrar,Negrar,13:30,37.019,147200.0,2870.0,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/gp-palio-del-recioto/1972
